   lon    lat   spatialEOF
120.59  23.65  -0.01352503
120.34  23.03   0.24606189
120.19  22.96   0.12008519
120.48  23.43   0.05145652
120.28  23.02   0.12958690
120.55  23.51   0.20172985
120.76  23.16  -0.14715880
120.17  23.38   0.04161030
120.86  22.31   0.11068412
120.28  22.94   0.05889643
120.31  22.94   0.17620942
120.29  23.39   0.01233362
120.36  22.80   0.38489626
121.03  23.20  -0.21305436
120.30  23.48   0.19199431
120.28  22.75   0.45403857
120.89  22.34   0.02836331
120.40  23.22  -0.07714316
120.38  23.41   0.20274176
120.37  23.26   0.20689171
120.45  23.27   0.06189142
120.40  22.99   0.27666065
120.61  22.64  -0.12599055
121.20  23.11   0.22570674
120.59  22.37  -0.20766535
121.23  23.13   0.03203115
120.35  23.02   0.08412985
120.96  23.49   0.24759406
120.44  23.38   0.07030442
121.19  22.79   0.08256050
120.70  23.11   0.16758944
121.17  22.94   0.25239001
120.28  23.36  -0.05675173
121.15  22.75   0.22224347
120.34  23.21  -0.09042150
120.52  23.42   0.02699364
120.28  22.94   0.39168478
120.45  23.47   0.15063246
120.29  22.61   0.02280847
120.09  23.06   0.24082684
120.55  23.46  -0.53879434
120.22  23.00   0.26286464
121.25  22.91  -0.19049669
120.31  23.58   0.15179072
121.13  22.91   0.02298850
120.64  22.72   0.37169267
120.48  23.56   0.29888973
120.89  23.48  -7.33126665
120.27  23.10  -0.44370692
120.35  22.58  -0.13118087
120.33  23.05   0.12283844
120.21  23.08  -0.18659974
121.08  22.76  -0.11667416
120.83  23.26  -0.01694097
120.66  23.54  -0.03642018
121.04  23.17  -0.34652826
120.50  22.61   0.21829405
