 tdata       pcdata
2015.60   0.01200375
2015.60   0.00967279
2015.60   0.04744887
2015.61  -0.10286413
2015.61  -0.32387134
2015.61   0.35761558
2015.61   0.00175288
2015.62   0.01862173
2015.62   0.37095868
2015.62   0.18296382
2015.62   0.52434225
2015.63   0.33217161
2015.63  -0.06867642
2015.63  -0.07574891
2015.64  -0.14783991
2015.64  -0.21421137
2015.64  -0.00581323
2015.64  -0.66904291
2015.65  -0.43446225
2015.65  -0.30549479
2015.65  -0.13383485
2015.65  -0.06055897
2015.66   0.09059034
2015.66   0.11642941
2015.66   0.11680426
2015.67   0.12166173
2015.67   0.17206468
2015.67   0.06734224
2015.67  -0.03629591
2015.68   0.14665229
2015.68  -0.20201018
2015.68   0.06945156
2015.68  -0.20699776
2015.69  -0.11881431
2015.69   0.20291348
2015.69  -0.05823714
2015.70   0.16561298
2015.70  -0.06561811
2015.70   0.10335314
2015.70   0.00000128
2015.71   0.20118041
2015.71  -0.06721362
2015.71  -0.06935349
2015.72  -0.03500311
2015.72  -0.08491711
2015.72  -0.10654939
2015.72  -0.11046347
2015.73  -0.10529905
2015.73   0.16314285
2015.73   0.14532433
2015.73   0.22503234
2015.74   0.16064722
2015.74   0.29369773
2015.74   0.49068706
2015.75   0.42785371
2015.75   0.35346109
2015.75   0.19952168
2015.75   0.29438426
2015.76   0.18123291
2015.76   0.13564694
2015.76  -0.07285354
2015.76  -0.04820620
2015.77   0.03169667
2015.77  -0.10860393
2015.77  -0.02105319
2015.78  -0.03843600
2015.78  -0.03048649
2015.78  -0.08636863
2015.78  -0.30138626
2015.79  -0.52009511
2015.79  -0.43629548
2015.79  -0.65914901
2015.79  -0.40174630
2015.80  -0.09254486
2015.80  -0.11130988
2015.80  -0.25961502
2015.81  -0.21135370
2015.81   0.23386239
2015.81   0.01842390
2015.81  -0.16112322
2015.82   0.26407454
2015.82   0.15078983
2015.82   0.09320815
2015.82   0.15792440
2015.83   0.04029882
2015.83  -0.12262333
2015.83   0.33353199
2015.84   0.16816971
2015.84   0.06852375
2015.84  -0.19278123
2015.84  -0.13924598
2015.85  -0.23819292
2015.85   0.26928544
2015.85   0.26698151
2015.85  -0.22909993
2015.86  -0.09080951
2015.86  -0.18458093
2015.86  -0.03176865
2015.87   0.20634334
2015.87   0.20439971
2015.87   0.29652187
2015.87   0.30184088
2015.88   0.13093478
2015.88  -0.08728810
2015.88  -0.10932750
2015.88   0.28419358
2015.89   0.15461935
2015.89   0.15993020
2015.89  -0.03474519
2015.90   0.23427422
2015.90   0.08430491
2015.90   0.23112359
2015.90   0.47132493
2015.91   0.33403840
2015.91   0.10536509
2015.91  -0.01216642
2015.92   0.11322896
2015.92   0.00999491
2015.92  -0.05511290
2015.92  -0.05091306
2015.93  -0.25108363
2015.93  -0.50309547
2015.93  -0.41254935
2015.93  -0.22917892
2015.94  -0.17612143
2015.94  -0.21144402
2015.94  -0.22158335
2015.95  -0.34755127
2015.95  -0.12050748
2015.95  -0.22945268
2015.95  -0.12828404
2015.96  -0.14200432
2015.96  -0.20534661
2015.96  -0.18415065
2015.96   0.17460167
2015.97  -0.27124017
2015.97  -0.21840184
2015.97  -0.14122401
2015.98  -0.02569876
2015.98   0.12459870
2015.98  -0.06288991
2015.98  -0.10413395
2015.99   0.11770346
2015.99   0.27239975
2015.99   0.19082209
2015.99   0.31738147
2016.00   0.25008802
2016.00   0.08141606
2016.00  -0.15597093
2016.01  -0.15993816
2016.01   0.00000115
2016.01   0.13066735
2016.01  -0.09703145
2016.02  -0.02586903
2016.02  -0.00776323
2016.02  -0.39082993
2016.02  -0.24719558
2016.03  -0.05497776
2016.03  -0.05325673
2016.03  -0.05975323
2016.04  -0.00494546
2016.04   0.12067224
2016.04   0.24116497
2016.04   0.37360401
2016.05   0.07552651
2016.05  -0.33838236
2016.05  -0.56796048
2016.05  -0.15512779
2016.06  -0.33941888
2016.06  -0.00246513
2016.06   0.11054686
2016.07   0.19022844
2016.07   0.22965033
2016.07   0.23293419
2016.07   0.21115649
2016.08   0.29023165
2016.08   0.35138429
2016.08   0.12126711
2016.08  -0.33403182
2016.09   6.74885150
2016.09   6.66188021
2016.09   6.88462324
2016.10   6.03131607
2016.10  -2.15570789
2016.10  -1.76558966
2016.10  -1.59919309
2016.11  -1.42376515
2016.11  -1.24370180
2016.11  -1.28089877
2016.11  -1.35385660
2016.12  -1.30495684
2016.12  -1.26421629
2016.12  -1.15112810
2016.13  -1.06706303
2016.13  -1.15968485
2016.13  -1.20250595
2016.13  -0.93600516
2016.14  -1.00812257
2016.14  -0.79019459
2016.14  -0.81506220
2016.14  -0.68253775
2016.15  -0.40731721
2016.15  -0.33747020
2016.15  -0.37813345
2016.16  -0.56623532
2016.16  -0.67818884
2016.16  -0.52887617
2016.16  -0.59910578
2016.17  -0.47856275
2016.17  -0.47603421
2016.17  -0.45204859
2016.17  -0.14076884
2016.18  -0.08324428
2016.18   0.12972095
2016.18   0.13281494
2016.19   0.13884088
2016.19   0.30768426
2016.19   0.29448568
2016.19  -0.23053124
2016.20   0.23053298
2016.20  -0.68385004
2016.20  -0.49357778
2016.20  -0.61334214
2016.21  -0.31150008
2016.21  -0.23019985
2016.21  -0.44578518
2016.22  -0.27152330
2016.22  -0.25014646
2016.22  -0.26617791
2016.22  -0.19847852
2016.23  -0.20520256
2016.23  -0.13407479
2016.23  -0.10688838
2016.23  -0.18598297
2016.24  -0.04591818
2016.24  -0.29919146
2016.24  -0.23984927
2016.25  -0.47198088
2016.25  -0.00407776
2016.25  -0.07518208
2016.25  -0.06769326
2016.26   0.19769103
2016.26   0.11482284
2016.26   0.23027213
2016.27   0.09875984
2016.27   0.50744767
2016.27   0.26760871
2016.27   0.29622895
2016.28   0.31742784
2016.28   0.15478848
2016.28   0.29663240
2016.28   0.48213135
2016.29   0.60557260
2016.29   0.50665925
2016.29   0.40994073
2016.30   0.55783742
2016.30   0.38067640
2016.30   0.29627668
2016.30   0.19935901
2016.31  -0.12962603
2016.31  -0.05038335
2016.31  -0.13945517
2016.31   0.03763350
2016.32  -0.03763169
2016.32   0.13350556
2016.32  -0.17165057
2016.33  -0.00905642
2016.33  -0.25218361
2016.33  -0.18262091
2016.33   0.00706937
2016.34   0.06962506
2016.34   0.20198007
2016.34   0.15419215
2016.34   0.04485443
2016.35   0.09092402
2016.35   0.06032239
2016.35   0.08744383
2016.36  -0.16967896
2016.36  -0.06470988
2016.36   0.68656041
2016.36   0.23086044
2016.37   0.22881211
2016.37   0.12961540
2016.37  -0.07228251
2016.37   0.18989187
2016.38   0.17166942
2016.38  -0.08950265
2016.38  -0.17861025
2016.39  -0.42585184
2016.39  -0.00878361
2016.39  -0.29257091
2016.39   0.17295995
2016.40  -0.16352254
2016.40  -0.57919148
2016.40   0.06491184
2016.40  -0.00578692
2016.41  -0.05913108
2016.41  -0.00000383
2016.41   0.17396977
2016.42   0.05565385
2016.42  -0.13883562
2016.42  -0.10807151
2016.42   0.02636054
2016.43  -0.12589887
2016.43   0.16759403
2016.43  -0.11633628
2016.43   0.06546945
2016.44   0.12572623
2016.44   0.05647397
2016.44  -0.15993442
2016.45  -0.02225826
2016.45   0.00000034
2016.45   0.39566097
2016.45   0.09748297
2016.46  -0.25556062
2016.46   0.10989242
2016.46  -0.34745498
2016.46  -0.19554809
2016.47   0.03069478
2016.47   0.16644815
2016.47  -0.00159403
2016.48   0.34088088
2016.48   0.47516906
2016.48   0.58376587
2016.48   0.15970618
2016.49   0.30746037
2016.49   0.36501725
2016.49   0.14749042
2016.49   0.24336151
2016.50   0.23299066
2016.50  -0.14409758
2016.50   0.17798927
2016.51   0.28386897
2016.51   0.60998468
2016.51   0.64093345
2016.51   0.10070366
2016.52   0.22733343
2016.52   0.07967215
2016.52  -0.12879816
2016.52  -0.45490554
2016.53  -0.41502793
2016.53  -0.10441945
2016.53  -0.33368904
2016.54  -0.42734957
2016.54  -0.26821078
2016.54  -0.73083623
2016.54  -0.46492026
2016.55  -0.48571650
2016.55  -0.41101957
2016.55  -0.40870369
2016.55  -0.29143538
2016.56   0.02243819
2016.56   0.07020177
2016.56  -0.12501926
2016.57  -0.24165307
2016.57  -0.08945760
2016.57   0.08357867
2016.57  -0.24166536
2016.58  -0.64122324
2016.58   0.04242404
2016.58  -0.29862135
2016.58   0.00104466
2016.59   0.27014225
2016.59  -0.27946659
2016.59   0.17002397
2016.60  -0.16515132
2016.60  -0.03910059
2016.60   0.04849176
2016.60  -0.08385911
2016.61  -0.34112647
2016.61  -0.51807783
2016.61  -0.39085327
2016.61  -0.47087504
2016.62  -0.28947322
2016.62  -0.16297959
2016.62  -0.17011015
2016.63  -0.06063795
2016.63  -0.16283826
2016.63   0.32014320
2016.63   0.20757000
2016.64   0.63821483
2016.64  -0.04361012
2016.64   0.04621629
2016.64  -0.07656693
2016.65  -0.07418080
2016.65  -0.08599923
2016.65   0.49664777
2016.66   0.08945734
2016.66   0.04025441
2016.66   0.26409813
2016.66   0.43979130
2016.67  -0.03873009
2016.67   0.44553025
2016.67   0.31442093
2016.67   0.27377959
2016.68   0.24070285
2016.68  -0.29254843
2016.68  -0.11857662
2016.69  -0.25805015
2016.69  -0.43601369
2016.69  -0.18727531
2016.69  -0.25987150
2016.70  -0.00578000
2016.70  -0.03483927
2016.70  -0.04698015
2016.70   0.39919071
2016.71   0.04222156
2016.71   0.28525445
2016.71   0.17809998
2016.72   0.31253600
2016.72   0.50931763
2016.72   0.28596327
2016.72  -0.19703706
2016.73  -0.05290333
2016.73   0.40459486
2016.73   0.13123477
2016.73  -0.10236044
2016.74   0.16324789
2016.74   0.22400667
2016.74  -0.09801042
2016.75  -0.22779344
2016.75   0.04085444
2016.75   0.05947693
2016.75  -0.15684861
2016.76   0.25641966
2016.76  -0.15904518
2016.76   0.36199059
2016.77  -0.08609009
2016.77   0.11687509
2016.77   0.11502865
2016.77  -0.08550339
2016.78  -0.26058992
2016.78   0.04358521
2016.78   0.23177316
2016.78   0.16192112
2016.79  -0.03000071
2016.79   0.12418795
2016.79   0.09897059
2016.80   0.36104274
2016.80   0.14038909
2016.80   0.09470407
2016.80   0.19775482
2016.81   0.12990295
2016.81   0.00777952
2016.81  -0.14123925
2016.81  -0.22209883
2016.82  -0.03809927
2016.82  -0.15595983
2016.82  -0.08349482
2016.83  -0.34807302
2016.83  -0.48266996
2016.83  -0.25213564
2016.83   0.08330154
2016.84   0.34252403
2016.84   0.20759007
2016.84   0.09920706
2016.84   0.17750499
2016.85  -0.08351752
2016.85   0.00168912
2016.85  -0.10103040
2016.86  -0.05486518
2016.86  -0.09049739
2016.86  -0.06509772
2016.86  -0.03399682
2016.87  -0.05446552
2016.87   0.05242316
2016.87   0.04724075
2016.87  -0.10960945
2016.88   0.03569914
2016.88   0.21493140
2016.88   0.09163839
2016.89  -0.15969699
2016.89  -0.14460056
2016.89  -0.10027614
2016.89  -0.35604702
2016.90   0.46744297
2016.90   0.21250437
2016.90   0.25177163
2016.90  -0.58170853
2016.91  -0.01237324
2016.91  -0.02160303
2016.91  -0.15298738
2016.92   0.02932826
2016.92  -0.13634191
2016.92  -0.16299549
2016.92   0.09819748
2016.93   0.20027893
2016.93  -0.22455080
2016.93  -0.09155961
2016.93  -0.45322300
2016.94  -0.29215671
2016.94  -0.10890883
2016.94  -0.10985912
2016.95  -0.03539386
2016.95  -0.02674837
2016.95  -0.07516205
2016.95   0.09529845
2016.96   0.11730423
2016.96   0.14869843
2016.96   0.23185068
2016.96   0.38480223
2016.97   0.11390981
2016.97   0.27681949
2016.97   0.26506172
2016.98  -0.14381466
2016.98  -0.18930770
2016.98  -0.07437749
2016.98  -0.85779090
2016.99  -0.87600773
2016.99  -0.78043845
2016.99  -0.71826995
2016.99  -0.78036146
2017.00  -0.58350832
2017.00  -0.58205701
2017.00  -0.37583981
2017.01  -0.41311064
2017.01  -0.48048819
2017.01  -0.53791009
2017.01  -0.61601187
2017.02  -0.52528413
2017.02  -0.54658737
2017.02  -0.55997871
2017.02  -0.38051977
2017.03  -0.27296497
2017.03   0.02709090
2017.03   0.10411789
2017.04   0.19304876
2017.04   0.16469108
2017.04   0.38853242
2017.04   0.48717507
2017.05   0.25113114
2017.05   0.37510757
2017.05   0.09562119
2017.05   0.13151746
2017.06  -0.00791006
2017.06   0.03796565
2017.06  -0.07953336
2017.07   0.14001436
2017.07   0.26168320
2017.07   0.50050293
2017.07   0.51274562
2017.08   0.67651375
2017.08   0.76145760
2017.08   0.73442223
2017.08   0.81360455
2017.09   0.92822988
2017.09   0.84073335
2017.09   0.77370071
2017.10   0.77493882
