 tdata       pcdata
2015.60   0.09680918
2015.60  -0.03969042
2015.60  -0.01077904
2015.61  -0.14977208
2015.61  -0.23196139
2015.61   0.33539815
2015.61   0.27285868
2015.62   0.13927532
2015.62  -0.20956563
2015.62   0.21493249
2015.62  -0.00788984
2015.63   0.29097340
2015.63  -0.24034804
2015.63   0.01473264
2015.64   0.35104810
2015.64  -0.62463903
2015.64  -0.20963448
2015.64  -0.01144185
2015.65  -0.65427619
2015.65   0.11333832
2015.65  -0.27066887
2015.65  -0.14858304
2015.66  -0.00504766
2015.66  -0.28812283
2015.66   0.59439517
2015.67   0.52986639
2015.67   0.31692507
2015.67  -0.16811174
2015.67  -0.02987294
2015.68  -0.03988448
2015.68   0.64009732
2015.68   0.31064383
2015.68   0.06551649
2015.69  -0.03659660
2015.69   0.15630464
2015.69   0.40457956
2015.70   0.14860046
2015.70  -1.05329890
2015.70  -0.56608123
2015.70   0.00000075
2015.71  -0.21896806
2015.71  -0.05047042
2015.71  -0.32306828
2015.72  -0.18800383
2015.72  -0.10650472
2015.72  -1.07837795
2015.72  -0.43939717
2015.73  -0.20312131
2015.73  -0.66473796
2015.73  -0.13542017
2015.73  -0.25905948
2015.74  -0.26694124
2015.74   0.18315565
2015.74   0.56760403
2015.75  -0.61538341
2015.75  -0.12724261
2015.75   0.27259390
2015.75   0.30629478
2015.76   0.19874702
2015.76   0.14643971
2015.76  -0.60255934
2015.76   0.41158230
2015.77   1.03310266
2015.77   0.42190501
2015.77   0.42644940
2015.78   0.09433480
2015.78   0.59641289
2015.78   0.16007968
2015.78   0.56259813
2015.79   0.02782903
2015.79  -0.37739785
2015.79  -0.25805235
2015.79   0.50560161
2015.80   0.27003661
2015.80  -0.06622098
2015.80  -0.05952708
2015.81  -0.18052902
2015.81  -0.73361044
2015.81  -0.51121810
2015.81   0.25855741
2015.82   0.18570078
2015.82   0.25786465
2015.82   0.50573493
2015.82  -0.02081076
2015.83   0.04592839
2015.83   0.04810323
2015.83   0.21556758
2015.84  -0.11437959
2015.84   0.50643654
2015.84  -0.03236136
2015.84   0.10232190
2015.85  -0.67758064
2015.85   0.42456257
2015.85  -0.39341169
2015.85  -0.58040905
2015.86   0.04533157
2015.86   0.63995671
2015.86  -0.13602556
2015.87   0.07681421
2015.87   0.50224462
2015.87   0.88238651
2015.87   0.28232646
2015.88   0.29314919
2015.88   0.04798986
2015.88   0.59661262
2015.88   0.59631466
2015.89   0.03381797
2015.89  -0.24310270
2015.89  -0.59157132
2015.90  -0.44952703
2015.90  -0.59076005
2015.90  -0.11450002
2015.90   0.79627520
2015.91  -0.22009106
2015.91   0.51508231
2015.91   0.19671056
2015.92   0.56874249
2015.92  -0.44942823
2015.92   0.00824218
2015.92  -0.45742969
2015.93   0.05471959
2015.93  -1.19235689
2015.93  -0.01638190
2015.93   0.16361949
2015.94  -0.02257584
2015.94   0.78530114
2015.94   0.26058955
2015.95  -0.50635909
2015.95  -0.20108924
2015.95  -0.55417764
2015.95   0.08445845
2015.96  -1.13602116
2015.96  -0.07189892
2015.96  -0.01537868
2015.96  -0.06043504
2015.97  -0.13202139
2015.97  -0.24713018
2015.97   0.27863167
2015.98   0.87193905
2015.98   0.62407182
2015.98  -0.01645495
2015.98  -0.59519249
2015.99  -0.11098136
2015.99   0.09547588
2015.99   0.48594957
2015.99  -0.66000585
2016.00  -0.72601376
2016.00  -0.15958539
2016.00   0.42838787
2016.01   0.01065547
2016.01   0.00000077
2016.01   0.25495591
2016.01  -0.17130222
2016.02  -0.25456853
2016.02   0.17091782
2016.02  -0.07807189
2016.02  -0.23658704
2016.03  -0.19234042
2016.03  -0.30746190
2016.03   0.17974502
2016.04  -0.13828261
2016.04   0.62943512
2016.04  -0.23355476
2016.04   0.53766607
2016.05  -0.16054019
2016.05  -0.43177390
2016.05  -0.27246829
2016.05  -0.26098447
2016.06  -0.72024353
2016.06  -0.38134006
2016.06  -0.60061600
2016.07   0.08350542
2016.07   0.40222716
2016.07   0.93694259
2016.07   0.85907745
2016.08   0.80089064
2016.08   0.45790729
2016.08  -0.61868055
2016.08  -0.25443338
2016.09   3.40634918
2016.09   1.93932229
2016.09   2.84548271
2016.10   2.03791630
2016.10  -0.62208242
2016.10  -0.22441302
2016.10  -0.27213056
2016.11  -0.46780036
2016.11  -0.28765971
2016.11   0.32646690
2016.11   0.39082189
2016.12   0.43833413
2016.12   0.24682442
2016.12  -0.69316503
2016.13  -1.06208746
2016.13  -0.63646017
2016.13  -0.83380953
2016.13  -0.75298540
2016.14  -0.18956747
2016.14  -0.44495959
2016.14  -0.23008778
2016.14  -0.15407640
2016.15  -0.82655240
2016.15  -1.37017124
2016.15  -0.45530967
2016.16  -0.39573118
2016.16  -0.60863071
2016.16  -0.49454397
2016.16  -0.27169183
2016.17  -0.83972572
2016.17  -0.28683964
2016.17   0.02871421
2016.17   0.16267777
2016.18  -0.03991325
2016.18   0.22651940
2016.18   0.23875006
2016.19  -0.36975062
2016.19   0.34412162
2016.19   0.19787316
2016.19   0.20920952
2016.20  -0.20920807
2016.20  -0.73387613
2016.20  -1.24082128
2016.20  -0.56299542
