   lon    lat   spatialEOF
120.59  23.65   1.72098821
120.34  23.03   5.25035768
120.19  22.96   3.08874900
120.48  23.43   1.87598273
120.28  23.02   3.05389820
120.55  23.51   1.96791815
120.76  23.16   2.49920109
120.17  23.38   1.82467565
120.86  22.31   1.64698192
120.28  22.94   4.48257282
120.31  22.94   5.69203474
120.29  23.39   2.13633415
120.36  22.80   3.18766379
121.03  23.20   3.11289575
120.30  23.48   1.72029708
120.28  22.75   2.24236378
120.89  22.34   1.79986545
120.40  23.22   1.66237134
120.38  23.41   1.83760098
120.37  23.26   2.42644482
120.45  23.27   2.34693037
120.40  22.99   5.11981645
120.61  22.64   2.22286757
121.20  23.11   2.00231642
120.59  22.37   1.64820625
121.23  23.13   1.89985603
120.35  23.02   2.63134470
120.96  23.49   1.88241856
120.44  23.38   1.63726528
121.19  22.79   1.65710318
120.70  23.11   3.26804805
121.17  22.94   1.98807316
120.28  23.36   2.06250607
121.15  22.75   1.85678194
120.34  23.21   2.32804618
120.52  23.42   2.05717581
120.28  22.94   4.52630228
120.45  23.47   1.85735018
120.29  22.61   1.82150716
120.09  23.06   2.33320259
120.55  23.46   2.08843819
120.22  23.00   3.54390469
121.25  22.91   1.97823270
120.31  23.58   2.06396975
121.13  22.91   1.81238919
120.64  22.72   1.94165823
120.48  23.56   1.71570283
120.89  23.48   2.10121383
120.27  23.10   3.81107462
120.35  22.58   2.11610901
120.33  23.05   3.64127263
120.21  23.08   2.52286842
121.08  22.76   1.89258642
120.83  23.26   2.01774144
120.66  23.54   1.90626143
121.04  23.17   4.30248876
120.50  22.61   1.84637655
